"","pos","id","col","col2","name"
"013Mortho",1,"013Mortho","#FF0000","#FF000099","013Mortho"
"013Msc",2,"013Msc","#FFA500","#FFA50099","013Msc"
"A549",3,"A549","#9932CC","#9932CC99","A549"
"CC531",4,"CC531","#FF1493","#FF149399","CC531"
"cetux1",5,"cetux1","#006400","#00640099","cetux1"
"Colo205",6,"Colo205","#FFD700","#FFD70099","Colo205"
"H1975",7,"H1975","#6495ED","#6495ED99","H1975"
"HCT116",8,"HCT116","#00008B","#00008B99","HCT116"
"K8484",9,"K8484","#00CD00","#00CD0099","K8484"
"KPC",10,"KPC","#00EEEE","#00EEEE99","KPC"
"Lovo",11,"Lovo","#838B8B","#838B8B99","LoVo"
"PC9",12,"PC9","#CD3333","#CD333399","PC9"
